date,sales
1/4/2017,1920
1/4/2017,288
1/4/2017,1800
1/4/2017,464
1/4/2017,288
1/4/2017,2
1/4/2017,348
1/4/2017,912
1/4/2017,132
1/4/2017,216
1/4/2017,24
1/4/2017,24
1/4/2017,72
1/4/2017,48
1/4/2017,24
1/4/2017,72
1/4/2017,48
1/4/2017,24
1/4/2017,216
1/4/2017,72
1/4/2017,264
1/4/2017,24
1/4/2017,84
1/4/2017,48
1/4/2017,456
1/4/2017,12
1/4/2017,456
1/4/2017,24
1/4/2017,192
1/4/2017,120
1/5/2017,780
1/5/2017,720
1/5/2017,208
1/5/2017,192
1/5/2017,72
1/5/2017,288
1/5/2017,1248
1/5/2017,36
1/5/2017,48
1/5/2017,24
1/5/2017,24
1/5/2017,24
1/5/2017,144
1/5/2017,336
1/5/2017,12
1/5/2017,24
1/5/2017,24
1/5/2017,156
1/7/2017,300
1/7/2017,304
1/7/2017,60
1/7/2017,176
1/7/2017,768
1/7/2017,96
1/7/2017,48
1/7/2017,192
1/7/2017,1512
1/7/2017,60
1/7/2017,360
1/9/2017,1200
1/9/2017,192
1/9/2017,420
1/9/2017,192
1/9/2017,72
1/9/2017,456
1/9/2017,180
1/9/2017,12
1/9/2017,24
1/9/2017,24
1/9/2017,384
1/9/2017,120
1/9/2017,144
1/10/2017,84
1/10/2017,12
1/10/2017,144
1/10/2017,72
1/10/2017,48
1/10/2017,72
1/10/2017,264
1/11/2017,300
1/11/2017,128
1/11/2017,60
1/11/2017,48
1/11/2017,504
1/11/2017,2184
1/11/2017,240
1/11/2017,72
1/11/2017,11
1/11/2017,168
1/11/2017,144
1/11/2017,184
1/11/2017,72
1/11/2017,72
1/11/2017,120
1/11/2017,192
1/11/2017,24
1/11/2017,216
1/11/2017,24
1/11/2017,744
1/11/2017,24
1/11/2017,96
1/11/2017,48
1/11/2017,24
1/11/2017,72
1/12/2017,600
1/12/2017,192
1/12/2017,336
1/12/2017,60
1/12/2017,12
1/12/2017,120
1/12/2017,24
1/12/2017,72
1/12/2017,288
1/12/2017,144
1/12/2017,24
1/13/2017,72
1/13/2017,12
1/13/2017,24
1/13/2017,60
1/13/2017,24
1/13/2017,192
1/13/2017,48
1/16/2017,60
1/16/2017,864
1/16/2017,9540
1/16/2017,4584
1/16/2017,5196
1/16/2017,180
1/16/2017,24
1/16/2017,24
1/16/2017,72
1/16/2017,96
1/16/2017,192
1/16/2017,72
1/16/2017,72
1/17/2017,60
1/17/2017,240
1/17/2017,96
1/17/2017,192
1/17/2017,72
1/17/2017,72
1/17/2017,36
1/17/2017,48
1/17/2017,48
1/17/2017,24
1/17/2017,192
1/17/2017,552
1/17/2017,1296
1/17/2017,24
1/18/2017,2160
1/18/2017,1440
